0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
97028, ,PE1003,A4, 健康體適能,  ,1,002 50010,半年,必帶,洪巧菱,2,"[53, 54]",50,"健康體適能 且 限學號末二位除３餘１,本校修課人數上限：50人",初選不開放。4010醫學系D合。, ,加入,"{'四': ['8', '9']}"
97029, ,PE1003,A5, 健康體適能,  ,1,002 50010,半年,必帶,胡林煥,2,"[23, 24]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。3030經濟系B合。, ,加入,"{'二': ['8', '9']}"
97030, ,PE1003,A8, 健康體適能,  ,1,002 50010,半年,必帶,趙曉涵,2,"[51, 52]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。6050森林系A合。, ,加入,"{'四': ['6', '7']}"
97031, ,PE1003,A9, 健康體適能,  ,1,002 50010,半年,必帶,趙曉涵,2,"[53, 54]",50,"健康體適能 且 限學號末二位除３餘２,本校修課人數上限：50人",初選不開放。4010醫學系E合。, ,加入,"{'四': ['8', '9']}"
97032, ,PE1003,B2, 健康體適能,  ,1,002 50010,半年,必帶,林謙如,2,"[3, 4]",50,"健康體適能,本校修課人數上限：50人",初選不開放。1040哲學系一合。, ,加入,"{'一': ['3', '4']}"
97033, ,PE1003,B4, 健康體適能,  ,1,002 50010,半年,必帶,林謙如,2,"[23, 24]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。2070心理系B合。, ,加入,"{'二': ['8', '9']}"
97034, ,PE1003,B7, 健康體適能,  ,1,002 50010,半年,必帶,林謙如,2,"[66, 67]",50,"健康體適能,本校修課人數上限：50人",初選不開放。4030藥學系一合。, ,加入,"{'五': ['6', '7']}"
97035, ,PE1003,B8, 健康體適能,  ,1,002 50010,半年,必帶,林謙如,2,"[68, 69]",50,"健康體適能,本校修課人數上限：50人",初選不開放。2090大氣系一合。, ,加入,"{'五': ['8', '9']}"
97036, ,PE1003,C3, 健康體適能,  ,1,002 50010,半年,必帶,吳明翰,2,"[46, 47]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。5040化工系B合。, ,加入,"{'四': ['1', '2']}"
97037, ,PE1003,C4, 健康體適能,  ,1,002 50010,半年,必帶,吳明翰,2,"[48, 49]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。1010中文系A合+1011中文系國際班A合。, ,加入,"{'四': ['3', '4']}"
97038, ,PE1003,C5, 健康體適能,  ,1,002 50010,半年,必帶,吳明翰,2,"[61, 62]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6030農化系一合。, ,加入,"{'五': ['1', '2']}"
97039, ,PE1003,C6, 健康體適能,  ,1,002 50010,半年,必帶,吳明翰,2,"[66, 67]",50,"健康體適能 且 限學號末二位被３整除,本校修課人數上限：50人",初選不開放。5020機械系C合。, ,加入,"{'五': ['6', '7']}"
97040, ,PE1003,C7, 健康體適能,  ,1,002 50010,半年,必帶,許君恆,2,"[21, 22]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。7020會計系B合。, ,加入,"{'二': ['6', '7']}"
97041, ,PE1003,C8, 健康體適能,  ,1,002 50010,半年,必帶,許君恆,2,"[23, 24]",50,"健康體適能,本校修課人數上限：50人",初選不開放。B010生科系一合。, ,加入,"{'二': ['8', '9']}"
97042, ,PE1003,D2, 健康體適能,  ,1,002 50010,半年,必帶,許君恆,2,"[51, 52]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。6050森林系B合。, ,加入,"{'四': ['6', '7']}"
97043, ,PE1003,D3, 健康體適能,  ,1,002 50010,半年,必帶,許君恆,2,"[53, 54]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。1020外文系A合。, ,加入,"{'四': ['8', '9']}"
97044, ,PE1003,D8, 健康體適能,  ,1,002 50010,半年,必帶,逄廣華,2,"[31, 32]",50,"健康體適能,本校修課人數上限：50人",初選不開放。1090戲劇系一合。,  ,加入,"{'三': ['1', '2']}"
97045, ,PE1003,F1, 健康體適能,  ,1,002 50010,半年,必帶,王傑賢,2,"[21, 22]",50,"健康體適能,本校修課人數上限：50人",初選不開放。5050工科海洋系一合。,  ,加入,"{'二': ['6', '7']}"
97046, ,PE1003,F2, 健康體適能,  ,1,002 50010,半年,必帶,王傑賢,2,"[23, 24]",50,"健康體適能,本校修課人數上限：50人",初選不開放。2010數學系一合。,  ,加入,"{'二': ['8', '9']}"
97047, ,PE1003,F3, 健康體適能,  ,1,002 50010,半年,必帶,麥吉誠,2,"[36, 37]",50,"健康體適能,本校修課人數上限：50人",初選不開放。A012法律系司法組一合。, ,加入,"{'三': ['6', '7']}"
97048, ,PE1003,F4, 健康體適能,  ,1,002 50010,半年,必帶,麥吉誠,2,"[38, 39]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6070農經系一合。, ,加入,"{'三': ['8', '9']}"
97049, ,PE1003,F5, 健康體適能,  ,1,002 50010,半年,必帶,蔡葉榮,2,"[46, 47]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。5010土木系A合。,  ,加入,"{'四': ['1', '2']}"
97050, ,PE1003,F6, 健康體適能,  ,1,002 50010,半年,必帶,蔡葉榮,2,"[48, 49]",50,"健康體適能 且 限學號雙號,本校修課人數上限：50人",初選不開放。9020資工系A合。,  ,加入,"{'四': ['3', '4']}"
97051, ,PE1003,F7, 健康體適能,  ,1,002 50010,半年,必帶,李永祥,2,"[6, 7]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6010農藝系一合。,  ,加入,"{'一': ['6', '7']}"
97052, ,PE1003,F8, 健康體適能,  ,1,002 50010,半年,必帶,李永祥,2,"[8, 9]",50,"健康體適能,本校修課人數上限：50人",初選不開放。1070日文系一合。,  ,加入,"{'一': ['8', '9']}"
97053, ,PE1003,G4, 健康體適能,  ,1,002 50010,半年,必帶,詹俊成,2,"[51, 52]",50,"健康體適能 且 限學號末二位除３餘２,本校修課人數上限：50人",初選不開放。9010電機系E合。, ,加入,"{'四': ['6', '7']}"
97054, ,PE1003,G5, 健康體適能,  ,1,002 50010,半年,必帶,詹俊成,2,"[53, 54]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。1020外文系B合。, ,加入,"{'四': ['8', '9']}"
97055, ,PE1003,G6, 健康體適能,  ,1,002 50010,半年,必帶,周德賢,2,"[16, 17]",50,"健康體適能,本校修課人數上限：50人",初選不開放。2040地質系一合。, ,加入,"{'二': ['1', '2']}"
97056, ,PE1003,G7, 健康體適能,  ,1,002 50010,半年,必帶,周德賢,2,"[31, 32]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6090獸醫系一合。, ,加入,"{'三': ['1', '2']}"
97057, ,PE1003,G8, 健康體適能,  ,1,002 50010,半年,必帶,周德賢,2,"[33, 34]",50,"健康體適能,本校修課人數上限：50人",初選不開放。2080地理系一合。, ,加入,"{'三': ['3', '4']}"
97058, ,PE1003,G9, 健康體適能,  ,1,002 50010,半年,必帶,周德賢,2,"[46, 47]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。5010土木系B合。, ,加入,"{'四': ['1', '2']}"
97059, ,PE1003,H1, 健康體適能,  ,1,002 50010,半年,必帶,莊泰源,2,"[48, 49]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。9020資工系B合。, ,加入,"{'四': ['3', '4']}"
97060, ,PE1003,H2, 健康體適能,  ,1,002 50010,半年,必帶,周德賢,2,"[61, 62]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6120昆蟲系一合。, ,加入,"{'五': ['1', '2']}"
97061, ,PE1003,H3, 健康體適能,  ,1,002 50010,半年,必帶,周德賢,2,"[63, 64]",50,"健康體適能,本校修課人數上限：50人",初選不開放。1060圖資系一合。, ,加入,"{'五': ['3', '4']}"
97062, ,PE1003,H4, 健康體適能,  ,1,002 50010,半年,必帶,何仁育,2,"[61, 62]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6130植微系一合。,  ,加入,"{'五': ['1', '2']}"
97063, ,PE1003,H5, 健康體適能,  ,1,002 50010,半年,必帶,何仁育,2,"[63, 64]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6100生傳系一合。,  ,加入,"{'五': ['3', '4']}"
97064, ,PE1003,H6, 健康體適能,  ,1,002 50010,半年,必帶,賴韻宇,2,"[46, 47]",50,"健康體適能,本校修課人數上限：50人",初選不開放。1030歷史系一合。, ,加入,"{'四': ['1', '2']}"
97065, ,PE1003,H7, 健康體適能,  ,1,002 50010,半年,必帶,陳逸杰,2,"[8, 9]",50,"健康體適能,本校修課人數上限：50人",初選不開放。7050資管系一合。, ,加入,"{'一': ['8', '9']}"
97066, ,PE1003,H9, 健康體適能,  ,1,002 50010,半年,必帶,王學富,2,"[38, 39]",50,"健康體適能,本校修課人數上限：50人",初選不開放。6080園藝系一合。, ,加入,"{'三': ['8', '9']}"
97067, ,PE1003,I1, 健康體適能,  ,1,002 50010,半年,必帶,莊國禎,2,"[16, 17]",50,"健康體適能,本校修課人數上限：50人",初選不開放。3022政治系國關組一合。, ,加入,"{'二': ['1', '2']}"
